step,plaquette
5, 0.45863
10, 0.525474
15, 0.543949
20, 0.555236
25, 0.558107
30, 0.564404
35, 0.565845
40, 0.566442
45, 0.567383
50, 0.56678
55, 0.567715
60, 0.568525
65, 0.564156
70, 0.56798
75, 0.569136
80, 0.567271
85, 0.56851
90, 0.567566
95, 0.567852
100, 0.569568
105, 0.568746
110, 0.567559
115, 0.566787
120, 0.570731
125, 0.569134
130, 0.572841
135, 0.57473
140, 0.572867
145, 0.571019
150, 0.572484
155, 0.568693
160, 0.571875
165, 0.568445
170, 0.571144
175, 0.571262
180, 0.574866
185, 0.573987
190, 0.574036
195, 0.573916
200, 0.570764
205, 0.568517
210, 0.5723
215, 0.570461
220, 0.569849
225, 0.575162
230, 0.572949
235, 0.573181
240, 0.573987
245, 0.575346
250, 0.573084
255, 0.57296
260, 0.571218
265, 0.572878
270, 0.572383
275, 0.565536
280, 0.570066
285, 0.572194
290, 0.572327
295, 0.572203
300, 0.569761
305, 0.570307
310, 0.570151
315, 0.570461
320, 0.573438
325, 0.570723
330, 0.5741
335, 0.569273
340, 0.573975
345, 0.574198
350, 0.569579
355, 0.568873
360, 0.570891
365, 0.570965
370, 0.566849
375, 0.569815
380, 0.569419
385, 0.569392
390, 0.571221
395, 0.572526
400, 0.575116
405, 0.574584
410, 0.572717
415, 0.569177
420, 0.570732
425, 0.567313
430, 0.571279
435, 0.574127
440, 0.571455
445, 0.570775
450, 0.572424
455, 0.577885
460, 0.572347
465, 0.575474
470, 0.56918
475, 0.573312
480, 0.573396
485, 0.567556
490, 0.570647
495, 0.573091
500, 0.573045
505, 0.57201
510, 0.567821
515, 0.572585
520, 0.572974
525, 0.568575
530, 0.567066
535, 0.567811
540, 0.567173
545, 0.568027
550, 0.567853
555, 0.569762
560, 0.574021
565, 0.572198
570, 0.574366
575, 0.572452
580, 0.571618
585, 0.575343
590, 0.574805
595, 0.570682
600, 0.569898
605, 0.569279
610, 0.568192
615, 0.567212
620, 0.569853
625, 0.571642
630, 0.571966
635, 0.57422
640, 0.573681
645, 0.5696
650, 0.571263
655, 0.572887
660, 0.575479
665, 0.570013
670, 0.574273
675, 0.570438
680, 0.574444
685, 0.573098
690, 0.572135
695, 0.572695
700, 0.570818
705, 0.570937
710, 0.57057
715, 0.571227
720, 0.567555
725, 0.572599
730, 0.57319
735, 0.570335
740, 0.569171
745, 0.573224
750, 0.574713
755, 0.571515
760, 0.567643
765, 0.571722
770, 0.569767
775, 0.572722
780, 0.571103
785, 0.575143
790, 0.571821
795, 0.57137
800, 0.574012
805, 0.574969
810, 0.574856
815, 0.57135
820, 0.57216
825, 0.569828
830, 0.569905
835, 0.571618
840, 0.573357
845, 0.566695
850, 0.570361
855, 0.570627
860, 0.57151
865, 0.572075
870, 0.575307
875, 0.572455
880, 0.574336
885, 0.573496
890, 0.569492
895, 0.571605
900, 0.569685
905, 0.573123
910, 0.573365
915, 0.574854
920, 0.567529
925, 0.572027
930, 0.573346
935, 0.571677
940, 0.568902
945, 0.571963
950, 0.578318
955, 0.572091
960, 0.575236
965, 0.575301
970, 0.570033
975, 0.572334
980, 0.573582
985, 0.569914
990, 0.571198
995, 0.572303
1000, 0.57357
1005, 0.571149
1010, 0.571913
1015, 0.570051
1020, 0.569916
1025, 0.569916
1030, 0.573453
1035, 0.57335
1040, 0.571817
1045, 0.56565
1050, 0.570269
1055, 0.572472
1060, 0.572728
1065, 0.572299
1070, 0.5726
1075, 0.573856
1080, 0.570346
1085, 0.575748
1090, 0.569344
1095, 0.5719
1100, 0.570355
1105, 0.567086
1110, 0.576079
1115, 0.576079
1120, 0.574976
1125, 0.571827
1130, 0.570708
1135, 0.574962
1140, 0.570069
1145, 0.570706
1150, 0.574077
1155, 0.575613
1160, 0.567556
1165, 0.571025
1170, 0.570458
1175, 0.569075
1180, 0.57499
1185, 0.573821
1190, 0.57137
1195, 0.573521
1200, 0.575294
1205, 0.570773
1210, 0.570773
1215, 0.574007
1220, 0.575579
1225, 0.57414
1230, 0.573336
1235, 0.568955
1240, 0.573542
1245, 0.569526
1250, 0.573895
1255, 0.572641
1260, 0.573776
1265, 0.570478
1270, 0.572621
1275, 0.578231
1280, 0.571656
1285, 0.570801
1290, 0.575765
1295, 0.573522
1300, 0.571305
1305, 0.571092
1310, 0.571735
1315, 0.569621
1320, 0.572399
1325, 0.57048
1330, 0.570056
1335, 0.569008
1340, 0.568783
1345, 0.570729
1350, 0.570647
1355, 0.572448
1360, 0.575088
1365, 0.572147
1370, 0.56563
1375, 0.567621
1380, 0.569864
1385, 0.569864
1390, 0.570392
1395, 0.570132
1400, 0.560932
1405, 0.571786
1410, 0.574894
1415, 0.573105
1420, 0.573105
1425, 0.572769
1430, 0.572754
1435, 0.572983
1440, 0.571554
1445, 0.573931
1450, 0.575276
1455, 0.572133
1460, 0.572588
