# step,acceptance,delta_H
1, 0.5, -6.05186
2, 0.666667, -2.34704
3, 0.75, -1.3692
4, 0.6, 0.314354
5, 0.666667, -1.27973
6, 0.714286, -0.955926
7, 0.75, -1.02267
8, 0.777778, -0.115172
9, 0.8, -0.766898
10, 0.818182, -0.0211105
11, 0.833333, -0.507766
12, 0.846154, -0.408828
13, 0.785714, 0.519164
14, 0.8, 0.251834
15, 0.8125, -0.0995729
16, 0.764706, 0.952827
17, 0.777778, -0.961424
18, 0.736842, 1.93604
19, 0.75, 0.581844
20, 0.761905, -0.83565
21, 0.727273, 0.891588
22, 0.73913, 1.4134
23, 0.75, 0.247732
24, 0.76, 1.46761
25, 0.769231, 0.386026
26, 0.777778, -0.622265
27, 0.785714, -0.198018
28, 0.793103, -0.107508
29, 0.8, -2.74807
30, 0.806452, 0.44568
31, 0.8125, -0.428961
32, 0.787879, 0.241986
33, 0.794118, -0.460788
34, 0.8, 0.107365
35, 0.805556, 1.62394
36, 0.783784, 1.46581
37, 0.789474, 0.922686
38, 0.794872, 1.22526
39, 0.775, 2.56128
40, 0.756098, 1.08317
41, 0.738095, 0.206105
42, 0.72093, 0.604527
43, 0.727273, 2.02121
44, 0.711111, 1.01886
45, 0.695652, 1.45313
46, 0.702128, -0.217911
47, 0.708333, -0.724185
48, 0.714286, -0.407688
49, 0.7, 0.896147
50, 0.686275, 1.45295
51, 0.673077, 1.89959
52, 0.679245, 0.309027
53, 0.685185, 0.533764
54, 0.672727, 0.494265
55, 0.678571, 1.96574
56, 0.666667, 1.16044
57, 0.655172, 1.30298
58, 0.661017, -1.66396
59, 0.666667, 0.279468
60, 0.655738, 1.41386
61, 0.645161, 1.11385
62, 0.634921, 1.75791
63, 0.640625, -0.855281
64, 0.646154, 1.91198
65, 0.636364, 0.566767
66, 0.641791, -0.841144
67, 0.647059, -3.24786
68, 0.637681, 1.49732
69, 0.628571, 0.238767
70, 0.619718, 0.364135
71, 0.611111, 0.206993
72, 0.60274, 1.56959
73, 0.608108, 0.641985
74, 0.613333, 0.672175
75, 0.605263, 0.666388
76, 0.61039, -0.0648878
77, 0.615385, 0.350915
78, 0.607595, 2.71519
79, 0.6125, 0.329851
80, 0.617284, -0.0877042
81, 0.621951, -0.470099
82, 0.626506, -0.157811
83, 0.630952, 0.777373
84, 0.635294, 0.394518
85, 0.627907, 3.87596
86, 0.62069, 1.54039
87, 0.613636, 3.72361
88, 0.617978, 0.278812
89, 0.622222, 1.46536
90, 0.626374, -0.10274
91, 0.630435, -0.744373
92, 0.623656, 0.940253
93, 0.62766, 0.183001
94, 0.621053, 2.79129
95, 0.625, 0.0836911
96, 0.618557, 1.3473
97, 0.612245, 1.52329
98, 0.606061, 2.50056
99, 0.61, 0.755274
100, 0.613861, 0.467746
101, 0.607843, 0.609715
102, 0.601942, 0.898021
103, 0.605769, 0.0018994
104, 0.6, 3.2852
105, 0.59434, 1.58131
106, 0.598131, 1.2848
107, 0.601852, 2.20359
108, 0.59633, 3.72613
109, 0.590909, 0.69699
110, 0.585586, 0.801592
111, 0.580357, 0.725826
112, 0.584071, -1.91307
113, 0.578947, 0.723145
114, 0.573913, 0.748994
115, 0.568966, 0.560501
116, 0.57265, -0.586562
117, 0.576271, -0.558178
118, 0.579832, 0.0789956
119, 0.583333, -0.507205
120, 0.586777, 0.692709
121, 0.590164, 1.55609
122, 0.593496, -0.329944
123, 0.596774, -0.176112
124, 0.592, 0.29897
125, 0.595238, -0.704008
126, 0.598425, -1.04303
127, 0.59375, 1.22645
128, 0.596899, -0.711748
129, 0.6, 0.176788
130, 0.603053, 0.0395203
131, 0.606061, 0.761923
132, 0.609023, 0.44371
133, 0.61194, -0.0240953
134, 0.614815, 1.03906
135, 0.617647, -0.426372
136, 0.620438, 0.12668
137, 0.623188, 0.158291
138, 0.625899, -0.135246
139, 0.628571, -1.17822
140, 0.624113, 1.41407
141, 0.626761, -0.349687
142, 0.629371, 0.0803946
143, 0.631944, 0.00328998
144, 0.634483, 0.376264
145, 0.636986, -0.254073
146, 0.639456, -0.714024
147, 0.641892, -0.10929
148, 0.644295, -0.934659
149, 0.646667, -0.600161
150, 0.649007, 0.756059
151, 0.651316, 0.24608
152, 0.647059, 0.176053
153, 0.649351, -0.382169
154, 0.651613, 0.0654865
155, 0.647436, 0.651529
156, 0.649682, -0.167951
157, 0.651899, 0.212115
158, 0.647799, 0.395187
159, 0.65, 0.118707
160, 0.652174, -0.342503
161, 0.654321, 0.866986
162, 0.656442, -0.689197
163, 0.658537, -0.389154
164, 0.660606, -0.168311
165, 0.662651, 0.116461
166, 0.658683, 0.672993
167, 0.654762, 0.209812
168, 0.656805, 1.60014
169, 0.658824, -0.74157
170, 0.660819, 0.253931
171, 0.662791, -0.598755
172, 0.65896, 1.25525
173, 0.655172, 0.936391
174, 0.651429, 0.973129
175, 0.647727, 3.31145
176, 0.644068, 1.03805
177, 0.646067, 0.236537
178, 0.648045, 1.06942
179, 0.65, 0.00185479
180, 0.651934, 0.164639
181, 0.653846, -0.00163678
182, 0.655738, -1.60318
183, 0.657609, 0.187859
184, 0.659459, 0.462994
185, 0.66129, 0.954426
186, 0.663102, -0.114684
187, 0.659574, 0.525361
188, 0.661376, 0.276652
189, 0.663158, -1.282
190, 0.664921, -1.23101
191, 0.666667, 1.23073
192, 0.663212, 1.32211
193, 0.659794, 1.05603
194, 0.65641, 1.99293
195, 0.658163, -0.0129191
196, 0.654822, 0.567835
197, 0.656566, -0.275847
198, 0.658291, 0.996646
199, 0.66, 0.400564
200, 0.661692, -0.651562
201, 0.663366, 0.442923
202, 0.660099, 1.2775
203, 0.661765, -0.137234
204, 0.658537, 1.26662
205, 0.660194, 0.172172
206, 0.661836, -2.22716
207, 0.663462, 1.47488
208, 0.665072, -0.142582
209, 0.666667, 1.23116
210, 0.668246, 0.875454
211, 0.669811, 0.0831726
212, 0.666667, 1.203
213, 0.668224, -1.34383
214, 0.669767, 0.246038
215, 0.671296, -0.126693
216, 0.672811, 0.300326
217, 0.669725, 0.533467
218, 0.671233, 0.241098
219, 0.668182, 1.1729
220, 0.669683, 0.168623
221, 0.671171, 0.00085485
222, 0.672646, -0.221319
223, 0.674107, -0.36116
224, 0.675556, 0.0384126
225, 0.676991, -0.291991
226, 0.674009, 1.12752
227, 0.675439, -0.278323
228, 0.676856, -0.435817
229, 0.678261, 0.439539
230, 0.679654, 0.143929
231, 0.681034, -0.499698
232, 0.678112, 0.443156
233, 0.679487, 1.03017
234, 0.680851, -1.26121
235, 0.682203, -0.609693
236, 0.683544, -0.354672
237, 0.684874, 0.659459
238, 0.686192, 1.32187
239, 0.6875, 0.0842495
240, 0.688797, -0.0805895
241, 0.690083, -0.619934
242, 0.687243, 1.01482
243, 0.688525, 0.291392
244, 0.689796, -0.472297
245, 0.686992, 0.577378
246, 0.688259, -0.126756
247, 0.689516, -0.464434
248, 0.690763, -0.896229
249, 0.688, 0.717789
250, 0.689243, -1.02512
251, 0.690476, -1.48975
252, 0.6917, 0.414936
253, 0.692913, -0.611777
254, 0.694118, -0.392064
255, 0.691406, 0.971146
256, 0.692607, -0.103602
257, 0.693798, 0.484965
258, 0.694981, -0.162741
259, 0.696154, -0.55726
260, 0.697318, 0.738143
261, 0.694656, 1.32872
262, 0.695817, -0.0366946
263, 0.69697, 0.327361
264, 0.698113, -0.671933
265, 0.695489, 2.35135
266, 0.696629, 0.406035
267, 0.697761, 0.698379
268, 0.695167, 1.13801
269, 0.692593, 2.31298
270, 0.693727, 0.121915
271, 0.694853, 0.243765
272, 0.695971, 0.0904714
273, 0.69708, 0.9173
274, 0.698182, 0.344251
275, 0.695652, 1.86881
276, 0.696751, 0.219855
277, 0.697842, -0.780654
278, 0.698925, 0.0489462
279, 0.7, 0.258638
280, 0.697509, 1.48873
281, 0.695035, 1.44685
282, 0.696113, -0.338344
283, 0.693662, 0.473482
284, 0.694737, -0.226782
285, 0.692308, 0.835479
286, 0.69338, 0.924398
287, 0.690972, 0.569274
288, 0.688581, 0.749008
289, 0.689655, 0.0317312
290, 0.690722, -0.337038
291, 0.691781, -0.232476
292, 0.692833, -0.0166369
293, 0.690476, 0.914416
294, 0.691525, 0.408118
295, 0.689189, 1.08103
296, 0.690236, 0.280196
297, 0.691275, -0.206595
298, 0.692308, 0.0138967
299, 0.693333, 0.169487
300, 0.694352, 0.156772
301, 0.695364, -0.337139
302, 0.693069, 0.684768
303, 0.690789, 0.453025
304, 0.691803, 0.256651
305, 0.69281, 0.47213
306, 0.690554, 2.21959
307, 0.691558, 0.00684544
308, 0.692557, -0.594484
309, 0.693548, 0.629977
310, 0.694534, 0.0945746
311, 0.692308, 1.05965
312, 0.693291, -0.286602
313, 0.691083, 0.528117
314, 0.692063, -1.12543
315, 0.693038, -0.144822
316, 0.694006, -0.845901
317, 0.694969, -1.36116
318, 0.69279, 1.16558
319, 0.69375, -0.912871
320, 0.691589, 2.01834
321, 0.689441, 0.732762
322, 0.690402, -0.791948
323, 0.691358, -1.03062
324, 0.692308, -0.297831
325, 0.693252, 1.15031
326, 0.69419, -0.760385
327, 0.692073, 0.164475
328, 0.68997, 0.523067
329, 0.690909, -0.329687
330, 0.688822, 1.58811
331, 0.689759, -0.951063
332, 0.690691, -1.34078
333, 0.691617, 0.0717759
334, 0.692537, 0.550231
335, 0.693452, 0.832999
336, 0.694362, 0.0553407
337, 0.695266, 0.764971
338, 0.693215, 1.38031
339, 0.694118, -0.31509
340, 0.695015, -0.0947302
341, 0.695906, 0.0344653
342, 0.696793, -0.245438
343, 0.694767, 1.93812
344, 0.695652, -0.139166
345, 0.693642, 1.62956
346, 0.694524, 1.42401
347, 0.695402, -0.454576
348, 0.696275, -0.17058
349, 0.697143, -0.697558
350, 0.698006, 1.48899
351, 0.696023, 0.703689
352, 0.696884, -0.410937
353, 0.694915, 1.42444
354, 0.692958, 1.46133
355, 0.691011, 1.78406
356, 0.689076, 0.329961
357, 0.689944, 0.678181
358, 0.690808, -0.908692
359, 0.691667, 0.449013
360, 0.689751, 1.14219
361, 0.687845, 1.76812
362, 0.688705, 0.204
363, 0.68956, -0.0702283
364, 0.690411, -0.382607
365, 0.688525, 1.4898
366, 0.686649, 1.70243
367, 0.6875, 0.514161
368, 0.688347, 0.377186
369, 0.689189, -0.870318
370, 0.690027, 0.350471
371, 0.688172, 1.07931
372, 0.689008, -0.625898
373, 0.687166, 0.771097
374, 0.688, 0.651279
375, 0.68883, -0.323673
376, 0.689655, -0.537151
377, 0.687831, 0.521305
378, 0.688654, 0.450464
379, 0.686842, 0.650306
380, 0.687664, 0.486867
381, 0.688482, 1.04548
382, 0.686684, 1.15166
383, 0.6875, 0.0732266
384, 0.688312, 0.266596
385, 0.689119, -0.136579
386, 0.689922, -0.265079
387, 0.688144, 0.232667
388, 0.686375, 0.977032
389, 0.684615, 0.455694
390, 0.685422, -0.353381
391, 0.683673, 1.229
392, 0.681934, 0.960921
393, 0.682741, -0.194096
394, 0.683544, 1.42915
395, 0.684343, -0.671523
396, 0.685139, -0.283292
397, 0.68593, -0.695277
398, 0.686717, 0.65955
399, 0.6875, 0.393434
400, 0.685786, 1.15115
401, 0.686567, -0.152699
402, 0.684864, 1.27558
403, 0.683168, 1.12497
404, 0.683951, 0.270244
405, 0.684729, 0.163436
406, 0.683047, 1.9417
407, 0.683824, -0.489073
408, 0.684597, 0.39046
409, 0.685366, 0.586126
410, 0.683698, 0.21035
411, 0.682039, 1.56578
412, 0.680387, 1.1839
413, 0.681159, -1.23414
414, 0.681928, 0.284481
415, 0.680288, 0.485481
416, 0.678657, 0.5116
417, 0.679426, -0.110761
418, 0.677804, 0.621433
419, 0.678571, 0.605012
420, 0.679335, -0.0686533
421, 0.677725, 0.82562
422, 0.678487, -1.11097
423, 0.679245, -0.177819
424, 0.68, -0.00624102
425, 0.680751, -0.0261587
426, 0.681499, 0.140994
427, 0.679907, 1.82228
428, 0.680653, -0.647591
429, 0.681395, -0.410527
430, 0.682135, 1.20664
431, 0.68287, -1.05898
432, 0.681293, 0.257088
433, 0.682028, -0.495705
434, 0.682759, -0.501448
435, 0.683486, 0.545682
436, 0.681922, 0.444806
437, 0.680365, 0.815571
438, 0.681093, 0.501479
439, 0.681818, 0.297817
440, 0.68254, 0.603441
441, 0.683258, -0.219455
442, 0.681716, 1.01235
443, 0.682432, -0.369055
444, 0.683146, -1.41599
445, 0.681614, 0.501458
446, 0.680089, 0.691745
447, 0.678571, 2.14403
448, 0.679287, -1.18784
